country,GDP,Area,Population,Current account balance,Inflation rate
Nigeria,448.12,923768,200.964,-17.016,11.4
North Macedonia,12.698,477,2.079,-0.351,0.8
Norway,403.336,323802,5.357,16.523,2.2
Oman,76.332,212460,4.194,-3.476,0.1
Pakistan,276.114,803940,204.729,-13.434,6.7
Palau,0.28,458,0.017,-0.075,0.6
Panama,66.801,78200,4.219,-3.5,-0.4
Papua New Guinea,24.809,462840,8.601,5.496,3.7
Paraguay,37.433,406750,7.153,-0.375,2.8
Peru,230.738,1285220,33.162,-3.14,2.1
Philippines,376.795,300000,107.29,-0.464,2.5
Poland,592.401,312685,37.973,2.433,2.3
Portugal,237.714,92391,10.276,-0.202,0.3
Qatar,175.838,11437,2.795,4.229,-0.6
Romania,250.076,237500,19.405,-11.401,3.8
Russian Federation,1702.496,17075200,146.749,65.337,4.5
Rwanda,10.123,26338,12.4,-0.935,2.4
Saint Kitts and Nevis,1.066,261,0.057,-0.022,-0.2
Saint Lucia,2.122,616,0.18,0.112,0.5
Saint Vincent and the Grenadines,0.824,389,0.11,-0.082,0.9
Samoa,0.851,2944,0.201,0.019,2.2
San Marino,1.602,61,0.034,0.012,1
Saudi Arabia,792.967,1960582,34.082,46.949,-2.1
Senegal,23.579,196190,16.308,-1.812,1
Serbia,51.409,88361,6.964,-3.539,1.9
Seychelles,1.651,455,0.096,-0.275,1.8
Sierra Leone,4.213,71740,7.815,-0.569,14.8
Singapore,372.066,693,5.704,63.138,0.6
Slovak Republic,105.434,48845,5.45,-3.03,2.8
Slovenia,53.748,20273,2.068,3.048,1.6
Solomon Islands,1.598,28450,0.641,-0.154,1.8
South Africa,351.354,1219912,58.775,-10.599,4.1
Spain,1394.27,504782,46.486,27.489,0.7
Sri Lanka,83.996,65610,21.803,-1.808,4.3
Sudan,33.359,2505810,43.222,-5.04,51
Suriname,3.697,163270,0.597,-0.41,4.4
Sweden,530.884,449964,10.328,22.308,1.6
Switzerland,704.825,41290,8.545,81.183,0.4
Taiwan Province of China,610.692,35980,23.603,65.141,0.5
Tajikistan,8.117,143100,9.292,-0.185,7.8
Tanzania,60.81,945087,56.322,-1.39,3.4
Thailand,543.564,514000,69.626,38.358,0.7
Togo,5.459,56785,8.084,-0.233,0.7
Tonga,0.517,748,0.1,-0.025,3.3
Trinidad and Tobago,24.1,5128,1.395,1.168,1
Tunisia,38.797,163610,11.783,-3.284,6.7
Turkey,760.94,780580,83.155,8.895,15.2
Turkmenistan,45.231,488100,5.856,2.296,5.1
Tuvalu,0.047,26,0.011,0.006,2.2
Uganda,36.484,236040,39.823,-2.367,2.9
Ukraine,154.694,603700,41.733,-4.208,7.9
United Arab Emirates,421.142,82880,10.749,35.372,-1.9
United Kingdom,2830.764,244820,66.797,-113.451,1.8
United States,21433.225,9631420,328.461,-480.225,1.8
Uruguay,56.686,176220,3.519,0.35,7.9
Uzbekistan,57.921,447400,33.256,-3.228,14.5
Vanuatu,0.933,12200,0.293,0.122,2.7
Venezuela,63.96,912050,27.817,5.352,19906
Vietnam,329.537,329560,96.462,11.261,2.8
West Bank and Gaza,17.051,5860,4.977,-1.834,1.6
Yemen,22.568,527970,31.648,-0.888,10
Zambia,24.156,752614,18.321,0.146,9.8
Zimbabwe,18.699,390580,14.905,0.208,255.3
