Indonesia,,310.815,221.398,1.595,10.5,1919440,87.9,0.458,0.408
Iran,,228.18,69.39,14.498,10.3,1648000,79.4,0.424,0.46
Iraq,,50.065,27.377,4.35,37,437072,40.4,0.666,0.261
Ireland,,211.795,4.2,-7.505,2.2,70280,98.0,0.46,0.49
Israel,,142.529,6.927,4.36,1.3,20770,95.4,0.317,0.657
Italy,,1859.244,58.065,-16.424,2.2,301230,98.6,0.291,0.688
Jamaica,,11.233,2.644,-1.073,15.1,10991,87.9,0.337,0.615
Japan,,4755.411,127.752,170.135,-0.3,377835,99.0,0.258,0.725
Jordan,,12.982,5.714,-2.272,3.5,92300,91.3,0.287,0.68
Kazakhstan,,57.125,15.219,-1.036,7.5,2717300,98.4,0.386,0.547
Kenya,,21.001,33.8,-0.275,7.8,582650,85.1,0.188,0.651
Kuwait,,80.807,2.991,30.069,4.1,17820,83.5,0.479,0.516
Kyrgyz Republic,,2.459,5.136,0.093,4.3,198500,97.0,0.208,0.439
Lao P.D.R.,,3.049,5.752,-0.482,7.2,236800,66.4,0.287,0.258
Latvia,,16.936,2.25,-2.008,6.9,64589,99.8,0.261,0.699
Lebanon,,21.497,4.699,-2.424,-1.4,10400,87.4,0.21,0.67
Lesotho,,1.502,1.875,0.152,3.4,30355,84.8,0.443,0.394
Liberia,,0.949,2.999,0.021,6.9,111370,57.5,0.054,0.177
Libya,,47.335,5.59,17.425,2.7,1759540,82.6,0.499,0.425
Lithuania,,26.143,3.323,-1.901,2.7,65200,99.6,0.325,0.62
Luxembourg,,37.382,0.461,4.107,3.8,2586,100.0,0.13,0.86
Macao SAR,,12.092,0.484,2.901,4.4,28,94.5,0.072,0.927
Madagascar,,5.859,18.337,-0.734,18.4,587040,68.9,0.165,0.559
Malawi,,3.656,13.654,-0.486,8.2,118480,62.7,0.158,0.499
Malaysia,,150.352,26.477,20.694,3,329750,88.7,0.48,0.436
Maldives,,1.163,0.294,-0.273,2.5,300,97.2,0.18,0.62
Mali,,6.251,12.392,-0.445,6.4,1240000,46.4,0.17,0.38
Malta,,6.415,0.403,-0.523,2.5,316,92.8,0.23,0.74
Marshall Islands,,0.142,0.051,0.011,3.5,11854,93.7,0.149,0.534
Mauritania,,2.936,3.047,-0.877,12.1,1030700,41.7,0.29,0.46
Mauritius,,6.775,1.228,-0.324,4.9,2040,85.6,0.298,0.643
Mexico,,877.477,106.005,-7.698,4,1972550,92.2,0.259,0.702
"Micronesia, Fed. States of",,0.25,0.106,-0.025,4.1,702,89.0,0.152,0.559
Moldova,,2.988,2.897,-0.226,11.9,33843,99.1,0.233,0.555
Mongolia,,2.523,2.551,0.03,12.7,1564116,97.8,0.214,0.58
Morocco,,62.343,30.215,-0.101,1,446550,51.7,0.357,0.426
Mozambique,,8.512,21.01,-0.761,6.4,801590,47.8,0.348,0.39
Namibia,,7.258,1.957,0.333,2.3,825418,84.0,0.315,0.588
Nepal,,8.18,25.745,0.163,4.5,147181,45.2,0.21,0.41
Netherlands,,685.727,16.306,48.322,1.5,41526,99.0,0.244,0.736
New Zealand,,113.206,4.136,-8.089,3,268680,99.0,0.273,0.684
Nicaragua,,6.321,5.483,-0.784,9.6,129494,67.5,0.275,0.56
Niger,,4.386,13.624,-0.312,7.8,1267000,17.6,0.17,0.44
Nigeria,,169.645,138.865,36.529,17.9,923768,68.0,0.487,0.244
Norway,,308.884,4.632,49.496,1.5,323802,100.0,0.415,0.564
Oman,,31.082,2.618,5.178,1.9,212460,75.8,0.39,0.583
Pakistan,,117.798,152.53,-1.534,9.3,803940,45.7,0.251,0.533
Palau,,0.185,0.02,-0.044,3.6,458,92.0,0.12,0.818
Panama,,16.638,3.351,-1.064,2.9,78200,92.6,0.156,0.776
Papua New Guinea,,7.339,5.781,0.624,1.8,462840,64.6,0.381,0.266
Paraguay,,10.738,5.78,-0.068,6.8,406750,94.0,0.207,0.569
Peru,,74.232,27.811,1.162,1.6,1285220,90.9,0.27,0.65
Philippines,,107.422,85.17,1.99,7.7,300000,92.6,0.326,0.53
Poland,,306.144,38.174,-7.969,2.1,312685,99.8,0.311,0.64
Portugal,,197.363,10.503,-18.918,2.1,92391,93.3,0.274,0.673
Qatar,,44.636,0.821,7.482,8.9,11437,82.5,0.801,0.197
Romania,,98.454,21.382,-8.625,9,237500,98.4,0.35,0.549
Russian Federation,,817.717,143.237,84.389,12.7,17075200,99.6,0.371,0.575
Rwanda,,2.59,8.8,0.026,9.1,26338,70.4,0.229,0.37
Samoa,,0.474,0.18,-0.035,7.8,2944,99.7,0.584,0.302
Saudi Arabia,,328.206,23.33,89.99,0.6,1960582,78.8,0.613,0.354
Senegal,,11.033,11.09,-0.678,1.7,196190,40.2,0.209,0.619
Serbia,,27.496,7.441,-2.202,16.3,88361,93.0,0.255,0.579
Seychelles,,0.919,0.083,-0.174,0.6,455,58.0,0.304,0.665
Sierra Leone,,1.649,5.646,-0.105,13.7,71740,31.4,0.31,0.21
Singapore,,127.808,4.266,29.729,0.5,693,92.5,0.339,0.661
Slovenia,,36.261,1.998,-0.653,2.5,20273,99.7,0.369,0.603
South Africa,,257.667,47.86,-8.063,3.4,1219912,86.4,0.303,0.671
Spain,,1154.354,43.663,-83.74,3.4,504782,97.9,0.295,0.665
Sri Lanka,,27.945,19.525,-0.605,11,65610,92.3,0.276,0.545
Sudan,,35.183,35.3,-2.473,8.5,2505810,61.1,0.203,0.41
Suriname,,2.235,0.499,-0.147,14,163270,93.0,0.22,0.65
Sweden,,392.219,9.048,23.337,0.8,449964,99.0,0.282,0.707
Switzerland,,408.67,7.415,54.831,1.2,41290,99.0,0.34,0.645
Syria,,28.881,19.121,-0.648,7.2,185180,76.9,0.23,0.519
